"","period","latent"
"175",1995.1,42.8188036134688
"176",1995.11,43.8296942630276
"177",1995.12,45.9943044159256
"178",1996.01,43.7376426656144
"179",1996.02,45.0092264361895
"180",1996.03,45.0745916520566
"181",1996.04,42.7447108414717
"182",1996.05,46.2302038882715
"183",1996.06,47.7968333061064
"184",1996.07,49.5683904107582
"185",1996.08,50.6723172924333
"186",1996.09,52.6779190045236
"187",1996.1,54.5572891707897
"188",1996.11,52.7428635304915
"189",1996.12,53.303838404656
"190",1997.01,53.4693826260826
"191",1997.02,54.6316526672283
"192",1997.03,54.0909665248251
"193",1997.04,53.4258075675523
"194",1997.05,51.4322549099542
"195",1997.06,55.816836896375
"196",1997.07,54.4627365705991
"197",1997.08,56.5582796069181
"198",1997.09,57.157071305257
"199",1997.1,57.3280155878593
"200",1997.11,60.1627176797807
"201",1997.12,59.2105119155636
"202",1998.01,62.1523501517424
"203",1998.02,67.2521353542411
"204",1998.03,67.6797245758346
"205",1998.04,67.7786981256423
"206",1998.05,67.0871926990314
"207",1998.06,64.510297643945
"208",1998.07,66.796476500084
"209",1998.08,69.6145458729216
"210",1998.09,70.1295742984447
"211",1998.1,66.4925626284952
"212",1998.11,71.040746909796
"213",1998.12,73.1653643832832
"214",1999.01,73.2915018203337
"215",1999.02,73.4422526700005
"216",1999.03,75.1573163641044
"217",1999.04,71.1910357642918
"218",1999.05,70.5566431426668
"219",1999.06,71.1320653990555
"220",1999.07,69.3839978394547
"221",1999.08,68.8835196857202
"222",1999.09,68.7403983322982
"223",1999.1,68.6995117629718
"224",1999.11,66.6331011371558
"225",1999.12,66.6730589889774
"226",2000.01,66.7008086013771
"227",2000.02,67.3080766948526
"228",2000.03,67.4623972405095
"229",2000.04,67.5016553961927
"230",2000.05,67.5116541661795
"231",2000.06,67.5142040775164
"232",2000.07,67.5148552862596
"233",2000.08,68.3713942352551
"234",2000.09,68.6142442844607
"235",2000.1,68.6830984447673
"236",2000.11,68.7026203853144
"237",2000.12,69.7895632127674
"238",2001.01,63.7925631688534
"239",2001.02,54.9575895225526
"240",2001.03,52.0569669655085
"241",2001.04,51.2464465380042
"242",2001.05,49.5121213784271
"243",2001.06,49.4021376931989
"244",2001.07,50.39075621371
"245",2001.08,46.1814991036982
"246",2001.09,45.5447065581655
"247",2001.1,59.4618590104904
"248",2001.11,66.8404476882741
"249",2001.12,60.6115197420926
"250",2002.01,58.8691280842726
"251",2002.02,59.4371839720916
"252",2002.03,62.4205723221982
"253",2002.04,61.6374983035098
"254",2002.05,57.6479642988224
"255",2002.06,57.4460627845978
"256",2002.07,52.9134614635419
"257",2002.08,49.0534779158098
"258",2002.09,48.5232710181515
"259",2002.1,47.3960176599187
"260",2002.11,49.8254451895332
"261",2002.12,48.1859818295148
"262",2003.01,45.5751864776254
"263",2003.02,43.1216718666841
"264",2003.03,45.8131293074716
"265",2003.04,46.8713809724316
"266",2003.05,46.3989420113454
"267",2003.06,46.7429997618453
"268",2003.07,44.2699279454334
"269",2003.08,42.9570768409559
"270",2003.09,41.1529008809289
"271",2003.1,41.6547135288006
"272",2003.11,43.9333550745938
"273",2003.12,47.0937510673729
"274",2004.01,46.0952353943898
"275",2004.02,42.5499756099233
"276",2004.03,39.5783043347127
"277",2004.04,41.3003783875604
"278",2004.05,40.3718115213213
"279",2004.06,44.0153165570845
"280",2004.07,43.1097490033006
"281",2004.08,42.3394274876421
"282",2004.09,43.9580694403154
"283",2004.1,43.5386427970535
"284",2004.11,44.0921560095304
"285",2004.12,43.4661084955711
"286",2005.01,44.3601662114865
"287",2005.02,43.2915352798149
"288",2005.03,40.3483783850055
"289",2005.04,38.5775486616455
"290",2005.05,39.1849541266628
"291",2005.06,38.9434539956005
"292",2005.07,42.3116017513153
"293",2005.08,40.2219954796422
"294",2005.09,37.3825741380856
"295",2005.1,34.6618947340863
"296",2005.11,35.8442548030556
"297",2005.12,40.2625871664179
"298",2006.01,40.5895790472904
"299",2006.02,37.5950643336983
"300",2006.03,41.1982444675239
"301",2006.04,36.7731011815703
"302",2006.05,34.7723212006938
"303",2006.06,34.9415779202081
"304",2006.07,36.2609877870485
"305",2006.08,36.0576778575359
"306",2006.09,38.2822781273633
"307",2006.1,38.6825692898994
"308",2006.11,38.877647234803
"309",2006.12,39.5881328120191
"310",2007.01,39.705083217976
"311",2007.02,39.3335687327781
"312",2007.03,39.8197795703108
"313",2007.04,37.8547449828324
"314",2007.05,37.6947633225276
"315",2007.06,37.1836759896641
"316",2007.07,38.3548670694792
"317",2007.08,36.0694202606602
"318",2007.09,34.5353322671551
"319",2007.1,32.9423151802289
"320",2007.11,32.495791052641
"321",2007.12,30.7885251770097
"322",2008.01,28.2524344133091
"323",2008.02,28.9179146782548
"324",2008.03,27.4700740382875
"325",2008.04,25.4317978250893
"326",2008.05,24.9436148610164
"327",2008.06,24.8144847277235
"328",2008.07,25.2390591493062
"329",2008.08,23.8689623163902
"330",2008.09,21.5245739034534
"331",2008.1,23.2023294168624
"332",2008.11,22.7876528349637
"333",2008.12,20.8890152556772
"334",2009.01,33.0944310388189
"335",2009.02,50.4241471758089
"336",2009.03,55.3500115319337
"337",2009.04,57.1600357194745
"338",2009.05,55.7009733549963
"339",2009.06,54.847392309179
"340",2009.07,51.4908196709577
"341",2009.08,50.2717206580851
"342",2009.09,49.033902795841
"343",2009.1,50.0761424738659
"344",2009.11,48.1371090122533
"345",2009.12,46.1865554521912
"346",2010.01,43.9124567161947
"347",2010.02,41.5593587098655
"348",2010.03,40.2007795558838
"349",2010.04,45.2688132009589
"350",2010.05,44.3448570598362
"351",2010.06,46.1494937302904
"352",2010.07,41.5716354312703
"353",2010.08,40.0462401683123
"354",2010.09,41.6587632856714
"355",2010.1,46.7492937825393
"356",2010.11,41.2779549648166
"357",2010.12,40.4775224855562
"358",2011.01,42.5509760599967
"359",2011.02,40.4864149628304
"360",2011.03,39.8858111224532
"361",2011.04,39.4076773070697
"362",2011.05,37.022652624739
"363",2011.06,38.0718473847613
"364",2011.07,37.1930930215633
"365",2011.08,31.8851305236814
"366",2011.09,34.2240884142416
"367",2011.1,35.9537152074838
"368",2011.11,33.7255536601518
"369",2011.12,37.7696461491125
"370",2012.01,38.9791529038251
"371",2012.02,40.7747875703303
"372",2012.03,37.929199552832
"373",2012.04,41.2426924261998
"374",2012.05,40.4696331948873
"375",2012.06,40.6361267903808
"376",2012.07,40.8534576198041
"377",2012.08,39.3985457163639
"378",2012.09,43.8508582192067
"379",2012.1,44.7679855773702
"380",2012.11,43.2239733364906
"381",2012.12,46.4423955454225
"382",2013.01,46.4544544074135
"383",2013.02,43.2113055128587
"384",2013.03,41.566475040776
"385",2013.04,41.5636309831111
"386",2013.05,44.2119223060513
"387",2013.06,41.5561571839593
"388",2013.07,42.726849674708
"389",2013.08,36.1555381985589
"390",2013.09,40.2193745135321
"391",2013.1,41.1241122874474
"392",2013.11,39.298715175937
"393",2013.12,39.0214914509629
"394",2014.01,40.5561441414969
"395",2014.02,39.9590529228704
"396",2014.03,40.4502635042875
"397",2014.04,38.8344205723961
"398",2014.05,40.3972953897217
"399",2014.06,37.9350284938999
"400",2014.07,40.5166003136089
"401",2014.08,35.405212607068
"402",2014.09,38.1798694968761
"403",2014.1,39.5021592856215
"404",2014.11,33.7237803983802
"405",2014.12,39.3732374829126
"406",2015.01,43.7493801458086
"407",2015.02,44.9526394450805
"408",2015.03,46.505187705199
"409",2015.04,45.4971025173769
"410",2015.05,45.2881939987315
"411",2015.06,45.2410601413449
"412",2015.07,44.845381126661
"413",2015.08,40.6810727742762
"414",2015.09,44.481847744345
"415",2015.1,46.681482107652
"416",2015.11,44.9025089633016
"417",2015.12,45.066827652937
"418",2016.01,45.5668759441617
"419",2016.02,45.9538129307597
"420",2016.03,46.603661597608
"421",2016.04,46.6366237890898
"422",2016.05,45.0902008453461
"423",2016.06,49.5099857551838
"424",2016.07,47.5396201906456
"425",2016.08,46.0393227937845
"426",2016.09,50.2096866396582
"427",2016.1,49.2364454673116
"428",2016.11,47.9115285254653
"429",2016.12,52.5816831558599
"430",2017.01,50.4166776253167
"431",2017.02,46.6663131043427
"432",2017.03,45.4038397237533
"433",2017.04,44.4584926822761
"434",2017.05,43.6798309313148
"435",2017.06,43.2844994267413
"436",2017.07,42.2974524155051
"437",2017.08,45.5604181342821
"438",2017.09,44.4187825471251
"439",2017.1,46.0804431820306
"440",2017.11,43.4942608287349
"441",2017.12,43.3112660169666
"442",2018.01,45.7698787849045
"443",2018.02,47.6566709475831
"444",2018.03,46.9168848416412
"445",2018.04,45.6394855413758
"446",2018.05,47.046783665699
"447",2018.06,48.6518739886601
